Mark Haddon, The Curious Incident of the Dog in the Night-Time|... why I like timetables, because they make sure I don't get lost in time.
Haven Kimmel, Girl Named Zippy: Growing Up Small in Mooreland, Indiana|That cat doesn't have a lick of sense,' I said, sighing.Well, honey, he's not right in the head,' Dad said, flipping his cigarette into the front yard.I glared at him. 'And just what do you mean by that?'Dad counted on his fingers. 'He's cross-eyed; he jumps out of trees after birds and then doesn't land on his feet; he sleeps with his head smashed up against the wall, and the tip of his tail is crooked.'Oh yeah? Well, how about this: he once got locked in a basement by evil Petey Scroggs in the middle of January and survived on snow and little frozen mice. When I'm cold at night he sleeps right on my face. Of that whole litter of kittens he came out of he's the only one left. One of his brothers didn't even have a butthole.'I stand corrected. PeeDink is a survivor.
Janet Evanovich, To the Nines|Do you see that man in the black Porsche?" I asked the women.They squinted out at Ranger. "Yes," they said."Your partner.""He's homeless. He's looking for a place to stay and he might be interested in renting Singh's room."Mrs.Apusenja's eyes widened. "We could use the income."She looked at Nonnie and then back at Ranger. "Is he married?""Nope. He's single. He's a real catch."Connie did something between a gasp and a snort and buried her head back behind the computer. "Thank you for everything." Mrs.Apusenja said. "I suppose you are not such a bad slut. I will go talk to your partner.:"Omigod," Connie said, when the door closed behind the Apusenja's. "Ranger's going to kill you." The Apusenjas stood beside the Porsche, talkig to Ranger for a few long minutes, giving him the big sales pitch. The pitch wound down, Ranger responded, and Mrs. Apusenja looked disappointed. The two women crossed the road and got into the burgundy Escort and quickly drove away. Ranger turned his head in my direction and our eyes met. His expression was still bemused, but this time it was the sort of bemused expression a kid has when he's pulling the wings off a fly."Uh-Oh,"Connie said. I whipped around and faced Connie. "Quick, give me an FTA. You're backed up, right? For God's sake, give me something fast. I need a reason to stand here until he calms down!" Connie shoved a pile of folders at me. "Pick one. Any one! Oh shit, he's getting out of his car."....He leaned into me and his lips brushed the shell of my ear. "Feeling playful?""I don't know what you're talking about.""Watch your back babe. I will get even."-Ranger and Stephanie
Rachel Vincent, Rogue|Marc’s hand tightened visibly around Kevin’s fingers, his digits going white. Again. Both men clenched their jaws, Kevin in pain, and Marc in an obvious effort to control his temper and keep from breaking Kevin’s hand. Off. Why couldn’t guys find a more original way to test each other’s manly prowess? Arm wrestling might have been more subtle. Or maybe comparing the length of their…canines.
Scott Lynch, Red Seas Under Red Skies|Jean grinned down at her, and she handed him something in a small silk bag.'What's this?''Lock of my hair, ' she said. 'Meant to give it to you days ago, but we got busy with all the raiding. You know. Piracy. Hectic life. ''Thank you, love, ' he said.'Now, if you find yourself in trouble wherever you go, you can hold up that little bag to whoever's bothering you, and you can say, "You have no idea who you're fucking with. I'm under the protection of the lady who gave me this object of her favour. "''And that's supposed to make them stop?''Shit no, that's just to confuse them. Then you kill them while they're standing there looking at you funny.
Rick Riordan, The Son of Neptune|Her name badge read: Hello! My name is DIE, DEMIGOD SCUM!
Zoë Marriott, The Swan Kingdom|To ugly ducklings everywhere,Don't worry about those fluffy yellow morons:They'll never get to be swans
John Flanagan, Halt's Peril|Isn't that someone we know?" asked Horace. He pointed to where a cloaked figure sat by the side of the road a few hundred meters away, arms wrapped around his knees. Close by him, a small shaggy horse cropped the grass growing at the edge of the drainage ditch that ran beside the road."So it is," Halt replied. "And he seems to have brought Will with him.
Christopher Paolini, Brisingr|I'm healthy as an ox. And you?" "To compare myself with a bovine would be both ridiculous and insulting, but I'm fit as ever, if that is what you are asking.
Richelle Mead, The Fiery Heart|Are you okay with what we ordered?” Angeline asked him. “You didn’t pipe up with any requests.” Neil shook his head, face stoic. He kept his dark hair in a painfully short and efficient haircut. It was the kind of no-nonsense thing the Alchemists would’ve loved. “I can’t waste time quibbling over trivial things like pepperoni and mushrooms. If you’d gone to my school in Devonshire, you’d understand. For one of my sophomore classes, they left us alone on the moors to fend for ourselves and learn survival skills. Spend three days eating twigs and heather, and you’ll learn not to argue about any food coming your way.” Angeline and Jill cooed as though that was the most rugged, manly thing they’d ever heard. Eddie wore an expression that reflected what I felt, puzzling over whether this guy was as serious as he seemed or just some genius with swoon-worthy lines.
Laurell K. Hamilton, Bloody Bones|There had to be a circle of Hell where you were eternally fourteen, eternally in junior high. One of the lower circles.
J.K. Rowling, Harry Potter and the Order of the Phoenix|I am not forgotten, you know, no, I still receive a very great deal of fan
E.L. James, Fifty Shades of Grey|You've brushed your teeth," He says, staring at me."I used your toothbrush."His lips quirk up in a half smile. "Oh Anastasia Steele, what am I going to do with you?
Patricia Briggs, Moon Called|Don’t lick the guests, darling. Bad manners.
Rick Riordan, The Hammer of Thor|Otis," I said."Shhh," he said. "I'm incognito. Call me...Otis.""I'm not sure that's how incognito works, but okay."Otis, aka Otis climbed into the chair I'd reserved for Sam.
Jeaniene Frost, Halfway to the Grave|Cat, hmmm? From where I sit you look more like a Kitten."My head jerked around and I shot him an annoyed look. Oh, I was going to enjoy this, all right. "It's Cat," I repeated firmly. "Cat Raven.""Whatever you say, Kitten Tweedy.
Deb Caletti, The Six Rules of Maybe|What is it about hairdressers? You tell them 'not too short' and some part of their hairdresser brain hears this as 'whack the shit out of it.' If you never say, 'not too short,' everything is fine. You say it, & it's a guarantee you'll come out ready for the military>
Scott Douglas, Quiet, Please: Dispatches From A Public Librarian|There was the smell of old books, a smell that has a way of making all libraries seem the same. Some say that smell is asbestos. 
Leigh Bardugo, Siege and Storm|I'll get them out and come back. I promise.""On your word as a cutthroat and a pirate?"He touched my cheek once, briefly. "Privateer."Another explosion rocked the grounds."Let's go!" shouted Mal.As we sprinted into the tunnel, I glanced back and saw Nikolai silhouetted against the purple twilight. I wondered if I'd ever see him again.
Stephen King|I am, he thought dimly, watching a vampire take a piss.
Ned Vizzini, It's Kind of a Funny Story|You all right, man?' This should be my name. I could be like a super hero: You All Right Man. Ah...' I stumble.Don't bug Craig,' Ronny is like. 'He's in the Craig zone. He's Craig-ing out.
Sarah Brianne, Nero|Hey, babe, can I sit here?” Elle turned her head and saw Nero standing there, holding a tray.　　Did he just really ask that, and did he just really call me ‘babe’?　　“Are you serious? Sit here?” Elle pointed to the chair beside her.　　“Yes, I was talking directly to you, wasn’t I?” Nero was definitely a smartass.　　“No, you clearly weren’t because my name isn’t ‘babe’. I bet you don’t even know my name. So, no, you cannot sit here, Nero.
A.J. Jacobs, The Guinea Pig Diaries: My Life as an Experiment|Plus, in one of his e-mails, the guy said he didn't like pancakes. What kind of asshole doesn't like pancakes? 
John Green, Paper Towns|pg. 231-232: They'd given me a minivan. They could have picked any car and they picked a minivan. A minivan. O God of the Vehicular Justice, why dost thou mock me? Minivan, you albatross around my neck! You mark of Cain! You wretched beast high ceilings and few horsepower!
