Catherine Deneuve|People who know me know I'm strong, but I'm vulnerable.
Thomas King, The Inconvenient Indian: A Curious Account of Native People in North America|The yard consisted of grass and a Russian Olive tree, which was about the only kind of tree able to survive on the high prairies. Its thin, grey leaves made it look as though it were on the verge of dying, thereby fooling the elements and the bad weather into thinking that they didn't have to bother with something so spindly and bent, something so obviously on its last legs.
Antony John, Five Flavors of Dumb|...bands fall out. But at the end of the day, they're like family. You get back together because you have to, because you're stronger together than you are apart.
Robert G. Ingersoll|Nothing could add to the horror of hell, except the presence of its creator, God. While I have life, as long as I draw breath, I shall deny with all my strength, and hate with every drop of my blood, this infinite lie.
Ken Follett, The Pillars of the Earth|They did not suspect her for a moment. It did not occur to them that a woman could be dangerous. How foolish they were. Women could do most of the things men did. Who was left in charge when the men were fighting wars, or going on crusades? There were women carpenters, dyers, tanners, bakers and brewers.
Jennie L. Hopkins|Life is too short not to show your truest form EVERY day... Live it, Like it, Love it and then push for more ~~
Treasure Blue, Fly Betty|God gave man the strength to conquer the world, but God gave woman a vagina to conquer man
George MacDonald, Phantastes|...[T]wo of you can be no match for the three giants, I will find you, if I can, a third brother, who will take on himself the third share of the fight, and the preparation...I will show him to you in a glass, and, when he comes, you will know him at once. If he will share your endeavors, you must teach him all you know, and he will repay you well, in present song, and in future deeds.'She opened the door of a curious old cabinet that stood in the room. On the inside of this door was an oval convex mirror...we at length saw reflected the place where we stood, and the old dame seated in her chair...at the feet of the dame lay a young man...weeping.'Surely this youth will not serve our ends,' said I, 'for he weeps.'The old woman smiled. 'Past tears are present strength,'said she.
Stephen Fry, The Hippopotamus|[his healing skills] ..lay in the ability to comfort, to comfort in the proper sense, to make strong, to fortify
Richelle E. Goodrich, Smile Anyway|There is strength in numbers, yes, but even more so in collective good will. For those endeavors are supported by mighty forces unseen.
Michelle Horst, Visions and Shadows|I might not be physically strong.But I do believe that to survive, I need to be strong-willed.Which is more important in life?
Denise Domning, Winter's Heat|To take command, one must first create the illusion that command is already yours.
Victoria Addino|Those of you who are convinced that you missed your calling, open all doors keep the entrance way clear. This way you will not miss that next call.
Kiiro Yumi, Library Wars: Love & War, Vol. 8|You may think you know someone very well. But there'll always be parts you can't see. Sometimes she'll look weak, but she is hiding her strength. Sometimes she'll seem strong... and yet she's so fragile on the inside.
Haruki Murakami, 1Q84|If there's any guy crazy enough to attack me, I'm going to show him the end of the world -- close up. I'm going to let him see the kingdom come with his own eyes. I'm going to send him straight to the southern hemisphere and let the ashes of death rain all over him and the kangaroos and the wallabies.
Jay Woodman|We have the greatest power through love that can be known. It overcomes everything with its fierce and steady truth, if you can continue to stand in it.You can call love to you, directly from the original stream of consciousness, anytime you feel weak or fearful, and you will be given strength and courage.You can call love to you, directly from the original stream of consciousness, anytime you feel sad or alone, and you will feel embraced and comforted.Call love to you if you feel vulnerable. Feel its purity come to you from the universe and flow round you like a miraculous mother cradling its innocent child.Breathe love in. Say to yourself as you breathe deeply “I love. I am loved.” Say it over and over as you breathe it into yourself and out to the universe, until you really feel and believe that you ARE LOVE.Feel love pour into your lungs as you breathe. Feel it circulate round your body to fill every organ, every limb, and every cell. Vibrate with its radiance, and share it.
