Unknown Author 365|If you actually want something and are really passionate about it, you will get it no matter what.
Abha Maryada Banerjee, Nucleus: Power Women: Lead from the Core|One should clearly know that " Every thought that one thinks and every action based on that thought, is taking us either closer to our principal purpose or away from it" Watch out then ....as thoughts become realities!
Gemma Malley, The Resistance|Reality wasn't as important as people made it out to be; to Jude it was simply the physical state in which he found himself, an environment he had limited control over.
Aravind Adiga, Last Man in Tower|Because in this world, there is a line: on one side are the men who cannot get things done, and on the other side are the men who can. And not one in a hundred will cross that line. Will you?
Abha Maryada Banerjee, Nucleus: Power Women: Lead from the Core|Done and over with ... weeding is a must, it's necessary!
Taylor Armstrong, Hiding from Reality: My Story of Love, Loss, and Finding the Courage Within|When he first said my diagnosis, I couldn't believe it. There must be another PTSD than post-traumatic stress disorder, I thought. I have only heard of war veterans who have served on the front lines and seen the horrors of battle being diagnosed with PTSD. I am a Beverly Hills housewife, not a soldier. I can't have PTSD. Well, I was wrong. Housewives can get PTSD, too, and yours, truly did.
Anthony Liccione|Don't let reality, get in way of your dreams.
César Aira, How I Became a Nun|I had a real life completely separate from beliefs, from the common reality made up of shared beliefs...
Carlos Castañeda|Nothing is pending in the world…nothing is finished, yet nothing is unresolved…Everything is filled to the brim.
Eckhart Tolle, A New Earth: Awakening to Your Life's Purpose|Words, no matter whether they are vocalized and made into sounds or remain unspoken as thoughts, can cast an almost hypnotic spell upon you. You easily lose yourself in them, become hypnotized into implicitly believing that when you have attached a word to something, you know what it is. The fact is: You don’t know what it is. You have only covered up the mystery with a label. Everything, a bird, a tree, even a simple stone, and certainly a human being, is ultimately unknowable. This is because it has unfathomable depth. All we can perceive, experience, think about, is the surface layer of reality, less than the tip of an iceberg.
Niels Bohr|I myself find the division of the world into an objective and a subjective side much too arbitrary. The fact that religions through the ages have spoken in images, parables, and paradoxes means simply that there are no other ways of grasping the reality to which they refer. But that does not mean that it is not a genuine reality. And splitting this reality into an objective and a. subjective side won't get us very far.
Taite Adams, E-Go: Ego Distancing Through Mindfulness, Emotional Intelligence, and the Language of Love|...the longer one stays in full flight from reality, the more painful will be the landing.
Michel Faber|Proof, once again, that reality was not objective, but always waiting to be reshaped and redefined by one's attitude.
Kemi Sogunle|Never shut off pain till it eats you up completely. Ensure you find someone you can confide in and trust, share your burdens, cry if you need to by letting it all out. No one is conditioned for pain. We all need to address it and let it go, knowing we cannot change the past but we can make a brighter future out of the lessons learned.
