Genereux Philip|GOD IS MY PROVIDER I BRAG DIFFERENT, THROUGH HIM ALL THINGS ARE POSSIBLE.
Craig Wright, The Pavilion - Acting Edition|At every single moment, the whole creation is beginning again, stretching the tent of the present moment to bursting. And the waves that push up through the oceans, and the waves that push up through the stars; and the waves that push upwards through history are the same waves that push up through us. And so we have to say yes to time, even though it means speeding forward into memory; forgetfulness; and oblivion. Say “no” to time; hold on to what you were or what she was; hold onto the past, even out of love... and I swear it will tear you to shreds. This universe will tear you to shreds.
Cassandra Golds, The Museum of Mary Child|For love was a kind of folly, a losing game. The greatest of all Wastes of Time. But then, that depended on what you thought time was for.
Sadie Jones, The Outcast|There was a sudden stillness like the gap between ticks on a clock, but the next tick never coming.
Margaret Atwood, Cat's Eye|Time is not a line but a dimension, like the dimensions of space. If you can bend space you can bend time also, and if you knew enough and could move faster than light you could travel backward in tie and exist in two places at once.
Elena Ferrante, The Story of a New Name|How quickly people changed, with their interests, their feelings. Well-made phrases replaced by well-made phrases, time is a flow of words coherent only in appearance, the one who piles up the most is the one who wins.
José Saramago, Seeing|In a matter of a moment the amount of sand in the upper part of the hour-glass had dwindled dramatically, the tiny grains were rushing through the opening, each grain more eager to leave then the last, time is just like people, sometimes it’s all it can do to drag itself along, but at others, it runs like a deer and leaps like a young goat, which, when you think about it, is not saying much, since the cheetah is the fastest of all the animals, and yet it has never occurred to anyone to say of another person He runs and jumps like a cheetah, perhaps because that first comparison comes from the magical late middle ages, when gentlemen went deer-hunting and no one had ever seen a cheetah running or even heard of its existence. Languages are conservative, they always carry their archives with them and hate having to be updated.
A.S. King, Everybody Sees the Ants|There is something magical about the world at night. Sitting at the dining room table, sipping a glass of iced tea, I can totally understand why Dad gets up so early. Minutes seem to last longer when the rest of the world is asleep.
Criss Jami, Killosophy|We often hear about stepping outside ourselves, but rarely about stepping outside our generation.
Carol Shields, The Stone Diaries|It has never been easy for me to understand the obliteration of time, to accept, as others seem to do, the swelling and corresponding shrinkage of seasons or the conscious acceptance that one year has ended and another begun. There is something here that speaks of our essential helplessness and how the greater substance of our lives is bound up with waste and opacity... How can so much time hold so little, how can it be taken from us? Months, weeks, days, hours misplaced – and the most precious time of life, too, when our bodies are at their greatest strength, and open, as they never will be again, to the onslaught of sensation.
Thomas Mann, The Magic Mountain|No, not of course at all—it is really all hocus-pocus. The days lengthen in the winter-time, and when the longest comes, the twenty-first of June, the beginning of summer, they begin to go downhill again, toward winter. You call that ‘of course’; but if one once loses hold of the fact that it is of course, it is quite frightening, you feel like hanging on to something. It seems like a practical joke—that spring begins at the beginning of winter, and autumn at the beginning of summer. You feel you’re being fooled, led about in a circle, with your eye fixed on something that turns out to be a moving point. A moving point in a circle. For the circle consists of nothing but such transitional points without any extent whatever; the curvature is incommensurable, there is no duration of motion, and eternity turns out to be not ‘straight ahead’ but ‘merry-go-round’!
