Peter Ackroyd, The Canterbury Tales: A Retelling|Women, of their nature, crave for liberty; they will not be ordered around like servants.
Irving Kirsch, The Emperor's New Drugs: Exploding the Antidepressant Myth|Not only are poor, unemployed, less will-educated and non-white people more likely to become depressed, but they are also least likely to benefit from treatment by either antidepressants or psychotherapy. That is why combating depression requires more than merely providing effective treatment for those who are already suffering from it. We also need the change the social conditions - such a racism, unemployment, poverty, unaffordable housing, and lack of adequate education - that put people at increased risk of becoming depressed.
Matthew Goldfinger|If anything normal were useful it would have been done already. That's why my motto is "Dare to Differ." Who know's what you'll find ?
Chris Cordova|We as human beings appear to be in the most adverse stages in our evolution. How can the Mother Earth survive when the souls of Her sons are tainted with avarice, and the very minds which shape Her fate are dominated by ego? Minds that are prone to paranoia and can no longer trust its brothers. Humanity is at a crossroads. A crossroads which speaks of either profound change or ultimate destruction.
Gouverneur Morris|They (the French) have taken genius instead of reason for their guide, adopted experiment instead of experience, and wander in the dark because they prefer lightning to light.
Matt L. Rawlins, There's an Elephant in the Room|If you can't talk about it, you can't change it.
Shamarion Whitaker|You can’t change the road you traveled from a child, but you can certainly take a different road for the journey into your future.
Charles Yu, How to Live Safely in a Science Fictional Universe|This is what I say: I've got good news and bad news.The good news is, you don't have to worry, you can't change the past.The bad news is, you don't have to worry, no matter how hard you try, you can't change the past.The universe just doesn't put up with that. We aren't important enough. No one is. Even in our own lives. We're not strong enough, willful enough, skilled enough in chronodiegetic manipulation to be able to just accidentally change the entire course of anything, even ourselves.
Walter Bower|The wolf was sick, he vowed a monk to be - But when he got well, a wolf once more was he
Kate DiCamillo, The Miraculous Journey of Edward Tulane|Normally, Edward would have found intrusive, clingy behavior of this sort very annoying, but there was something about Sarah Ruth. He wanted to take care of her. He wanted to protect her. He wanted to do more for her. (page 135)
B.F. Skinner, Walden Two|Each of us has interests which conflict the interests of everybody else... 'everybody else' we call 'society'. It's a powerful opponent and it always wins. Oh, here and there an individual prevails for a while and gets what he wants. Sometimes he storms the culture of a society and changes it to his own advantage. But society wins in the long run, for it has the advantage of numbers and of age.
William Nicholson, Shadowlands|HARRINGTON: And God hears your prayer, doesn't he? We hear Joy's getting better....LEWIS: That's not why I pray, Harry. I pray because I can't help myself. I pray because I'm helpless. I pray because the need flows out of me, waking and sleeping. It doesn't change God, it changes me.
