Na'ama Yehuda|When hearts speak, they touch each other and transform the deepest sorrow.
Nikki Rowe|I could have loved him with everything I had but he wasn't prepared for the depth i provided ~ had I been a woman of weakness I would have stayed, but he lost the chance when he said I wasn't enough that day.
Kamand Kojouri|I have died at the ripe age of twenty.Smile, for the world didn't get a chance to disappoint me.I have died at the mature age of ninety.Smile, for my life was more than satisfying.I have died suddenly—out of the blue.Smile, for I didn't have to fall ill before you.I have died from a long illness.Smile, for I had the chance to say goodbye.I did not want to leave this Earth.But smile, for I am still here among you.Why are you crying?Can you not see I am smiling?
Michael Bassey Johnson, Master of Maxims|Start with a cry, end with a smile.
Steve Maraboli|You can't force someone to care... You can only come to the realization that if you stay, they'll keep hurting you. I wish you the wisdom and courage to walk away and begin the healing process.
Nikki Rowe|And you finally get there, you reach a point where you refuse to feel anymore pain and the desire to chase happiness out weighs any choice that gives you reason to question where you're headed.
Laurence Overmire, The Ghost of Rabbie Burns: An American Poet's Journey Through Scotland|Wisdom is finding the path that is best for all - considering the options, the positives and the negatives - and having the courage to change what must be changed for the sake of the entire world.
Duncan Edwards|Even if you are having a nightmare day during which nothing will go right, never cease looking for the ball. In the end everything will come right, for football is a game that rewards those who show courage.
Rachel L. Schade, Silent Kingdom|No matter what, I would never let the people who wanted me to break see how much damage they had inflicted.
Hannah Brencher, If You Find This Letter: My Journey to Find Purpose Through Hundreds of Letters to Strangers|All those dotted lines were just the parts of the story where she would get on the ground and get her hands dirty with the mess of it all. The mess and the glory of other people’s hearts and heart songs. She would learn it would take grit, and guts, and courage to make a difference. But the world will always need people who care enough to make a difference, so she needed to not miss her casting call.
Martha Brockenbrough, The Game of Love and Death|If life didn't end,' he said, 'there would be no need for me. To choose love in the face if death is the ultimate act of courage. I am the joy, but you are the meaning. Together, we make humanity more that it otherwise might have been.
Mark Matousek, When You're Falling, Dive: Lessons in the Art of Living|You go on with your life, because life goes on,” says Isabel. “You see this in anyone who has survived a traumatic situation. My own daughter died, for example.” Her only daughter, Paula Frias, died of porphyria in 1992 at the age of twenty-seven. “At first you think you can’t live with this,” says the author, who just turned sixty-five. “It’s just too much. Then life begins to take over. One morning you wake up and you want to eat chocolate. Or walk in the woods. Or open a bottle of wine. You get back up on your feet.” “When you can, right?” “You have no choice!” Isabel insists. “You cannot let the bullies keep you on the floor! I have been on my knees a thousand times, and I always get up.
Mark Matousek, When You're Falling, Dive: Lessons in the Art of Living|The French have a term for this brazenness: je m’en foutisme, the brave art of not giving a damn.
Laurie Perez, Breakthrough: How to Have Compassion for Those Who Do Harm|Feel compassion for your own heart that was broken open by grief or confusion.Then tune in to the other level of that experience. Some part of you was heroic inside that moment of your life.Some part of you was looking out for you, wanting you to make it through, encouraging you to love and heal and be larger than the message you were getting. Access the hero inside your own story....
Jan-Philipp Sendker, The Art of Hearing Heartbeats|Yet she also longed for moments when she might be weak, when she need not prove anything to anyone.
