Cassandra Clare|I think that's just a story.""But, Jace," she said. "All stories are true.
Danielle L. Jensen, Stolen Songbird|Pointed teeth would give one an appearance of ferocity," he said, tapping a straight white tooth. "Although that might require one to follow through with biting someone from time to time, and the thought is enough to make one feel ill. I don't even like my meat cooked rare.
Ursula K. Le Guin|A lot of people still maintain genre prejudice. I still meet matrons who tell me kindly that their children enjoyed my books but of course they never read them, and people who make sure I know they don’t read that space-ship stuff. No, no, they read Literature—realism. Like The Help, or Fifty Shades of Grey.
Michael Bassey Johnson|Knowledge is not obtained through being absorbed in a book, it comes when you brush aside fantasies and sensuality, switching from the unreal to the real.
Neil Gaiman, Preludes & Nocturnes|CHORONZON "I am anti-life, the beast of judgement. I am the dark at the end of everything. The end of universes, Gods, worlds... of everything. And what will you be then, Dreamlord?"MORPHEUS "I am hope.
L. Joseph Shosty|And you will spend the rest of your life wondering if I have disciples to avenge me. Hire your tasters, Burbesh. Until the Master of the Sleeps comes for you, you’ll never know a taste of anything that has not touched another’s lips first. You’ll never sleep in a bed that has not been first tossed for vipers. You’ll never sit in a chair that has not been tested for poisoned barbs in its cushions. You shall never see a bath drawn for you that you will not at first fear is acid. And you’ll never have another dream where my face is not grinning at you from the shadows.” -- From "Morality for Alchemists and Thieves
Jennifer Priester, Mortal Realm Witch: Realms Unite?|He can talk!""Yes, I can speak any language you want, fly, and breath fire." Air Raid said proudly."Can you do anything else?" the boy asked.Air Raid thought for a moment then said, "I can sing.""No, he can't. And please don't ask him to prove it," Ally quickly said looking at the fawn haired girl pleadingly."I'll believe you this time," the fawn hair girl said. After being proven wrong several times already she didn't want to take any more chances.
K. Chrisbacher, The Last Innocent|Always have a plan, but be prepared to change it at any given moment.
Jennifer Priester, Mortal Realm Witch: Realms Unite?|Star, pillows don't attack dogs," Sam said."Or anything else," Turtle added.
Daniel Pike, The Wolf of Descarta|Brea watched the other Jaren, the Jaren she wasn't sure she wanted to know, slip through the cracks of his face. He was like the changelings in that Dream Box game he was so invested in, Bladescape. Her own interested mask, the one she was supposed to wear, must have slanted a bit around the eyes because then the other Jaren, her Jaren, was back. She watched his dimples puddle in the black of his beard as his mind fumbled for something to say. And this impromptu self-modification, here at the monitoring station at the job where she'd made such a fool of herself, was the closest thing to love that Brea Morgen had ever known.
Joe Fassler|it’s the way he uses language—which is nothing like the way fantasists used language before him. There’s no sense of nostalgia. There’s no medieval floridness. There’s no fairy tale condescension to the child reader. It’s very straight, and very clean—there’s no Vaseline on the lens. You see everything clearly, not with sparkles or a flowery sense of wonderment, but with very specific physical details.
Don Luis Zavala, Oh My Holy Phone|Vincent knew he was dying. A horrendous fever overwhelmed him with intolerable pain throughout many sleepless hours. It came as a result of a malaria epidemic that erupted in his hometown during early nineteenth century Europe. The disease spread so fast, physicians had to ration their stocks of quinine only to use it on patients who weren’t declared “hopeless”. Vincent was one of the unlucky ones. Speculating his time on Earth may be short, he requested spiritual guidance, even if he wasn’t a faithful man, nor did he believe in forgiveness. He appealed to the Church as a “just in case” like many other petrified atheists.
R.W. Schmidt, The Lands Beyond the Moon|Few living do.""Then, have I...I mean, am I-""Oh, no, child! You are still very much alive! Though I may say, not as Alive as you might be if you had died.
Daniel Pike, The Wolf of Descarta|The Dream Box wasn't a place, but it was a destination. It wasn't life, but it was a way of life. Reese wasn't awake in the Meat Space the way he was in Cyber, where a billion liters of endorphins blasted through the biological wiring of his veins with every corner his mind turned, where every conscious or subconscious choice he made was infused with importance. Linked in, he could partake of the guiltless ecstasy that was up for grabs, even for people like him. Linked in as Balmus, he could even be his own hero.
F.T. McKinstry, Water Dark|Love is whole. Love cannot be divided from itself. Love knows all paths, where even gods and cats are blind.
Oliver Gaspirtz|Happy Endings are an illusion. Real life is filled with brief moments of fleeting happiness, but ultimately every life is a tragedy that ends in death and grief.
George R.R. Martin, A Clash of Kings|Look at me!" he would shout as he ran laughing through the halls of Storm's End. "Look at me, I'm a dragon," or "Look at me, I'm a wizard," or "Look at me, look at me, I'm the rain
Brandon Sanderson, The Way of Kings|It is not the destination that matters, but how one arrives there.
Holly Black, Doll Bones|Adventuring turned out to be boring. Zach thought back to all the fantasy books he'd read where a team of questers traveled overland, and realized a few things. First he'd pictured himself with a loyal steed that would have done most of the walking, so he hadn't anticipated the blister forming on his left heel or the tiny pebble that seemed to have worked its way under his sock, so that even when he stripped off his sneaker he couldn't find it.He hadn't thought about how hot the sun would be either. When he put together his bunch of provisions, he never thought about bringing sunblock. Aragorn never wore sunblock. Taran never wore sunblock. Percy never wore sunblock. But despite all that precedent for going without, he was pretty sure his nose would be lobster-red the next time he looked in the mirror.He was thirsty, too, something that happened a lot in books, but his dry throat bothered him more than it had ever seemed to bother any character.And, unlike in books where random brigands and monsters jumped out just when things got unbearably dull, there was nothing to fight except for the clouds of gnats, several of which Zach was pretty sure he'd accidentally swallowed.
