Santosh Kalwar|Born to be wild; born to be free; nobody owns you; you are, a romantic tree.
Cherise Sinclair, Make Me, Sir|Am I your dom, little rabbit?”“Yes.” Her red-brown brows drew together. “What’s wrong?”“Not a thing.” He gave her a faint smile, and his gravelly voice deepened. “I thought I’d tell you we’re getting married next month.”~Nolan and Beth~
Fiona Thrust, Naked and Sexual|It was the wildness of it that got me going: the primal lust, the sheer needs of two people in heat, quickly finding ways to express their sacred hunger to each other in animal passion.
Jill Shalvis, Simply Irresistible|Looking at him, she saw her future and felt all the ragged tears in her heart heal themselves. "I fit," she whispered in marvel, stepping into him. "I fit with you."He nodded and wrapped his arms around her. "Perfectly
Deeanne Gist, A Bride Most Begrudging|He wants a fifteen thousand pound settlement.""Fifteen thousand!""He says you're a great deal of trouble."She hesitated for one startled moment before choking back a laugh."I am.""I thought so." He leveled Drew a look. "If I pay you the fifteen thousand, do you swear to keep her?"Drew reared back his head. "Forever?"Her father scowled. "Forever.""Oh, I suppose." He gave a long-suffering sigh. "If I must."She bit the insides of her cheeks to keep from laughing outright.
K.A. Tucker, Ten Tiny Breaths|There’s something different about him, and I don’t have to think hard to see it. Something about the way he takes over a room, the way he looks at me, like he has already identified and can disarm every one of my defense mechanisms with no effort, like he sees through them to the disaster lying beneath. And he wants it.
Emme Rollins, Dear Rockstar|Sometimes there’s no cure for the crazy.” Dale sighed, stroking my hair. “I think we all just have to keep loving through it. Maybe that’s the cure.
Deeanne Gist, A Bride Most Begrudging|She hated Mr. Meanie. But she'd gotten to know him and they'd reached an understanding of sorts. Now she was to have him for supper."Don't tell me you're feeling guilty?"Breaking off a piece of the wing, she brought it to her lips and took a bite. It did taste good. Very good."I wonder if all grouchy males are this palatable."Drew choked.She looked up, tilting her head. "Are you all right?"He turned a dull red. "Eat your supper, Connie.
Amie Kaufman, This Shattered World|What does it mean?” Flynn turns to gaze at me, eyes finally meeting mine.I find myself smiling because I know exactly what it means. “It means the clouds are clearing on Avon.
Rachel E. Carter, Apprentice|I know exactly who you are.” I took a step forward, and another, until I was standing right in front of him. Then my words turned to ice. “You are the selfish, spineless son of a king who is too afraid to be his own man. You would rather hide behind your status than fight for something that could actually mean something.” There, that felt good. “And it’s a shame, really it is, because, according to you, I was the one true friend you had.
Amie Kaufman, This Shattered World|His eyes move to my lips, and I know he’s thinking the same thing; I can feel it in the way the air charges between us. I can almost taste him half an inch away, can feel the way the tiny hairs on my skin lift and reach for him like plants seeking the sunlight.
Aileen Rose, Girl In The Woods|Why do you want to keep this beauty for yourself? Why don’t you want to share it? The world is made of shared grace and harmony. Look at the sun shining, at the bees flying, the flowers blossoming. What would happen if they were ashamed like you are? No beauty would be revealed. We would live in an eternal shadow of what could exist.
Amy Lane, The Winter Courtship Rituals of Fur-Bearing Critters|My knitting is simple", he said again. Ï can make anything you want with it, but it will always be simple.
Annabelle Gurwitch, You Say Tomato, I Say Shut Up: A Love Story|When I was twelve, my sixth-grade English class went on a field trip to see Franco Zeffirelli’s film adaptation of Shakespeare’s Romeo and Juliet. From that moment forward I dreamed that someday I’d meet my own Juliet. I’d marry her and I would love her with the same passion and intensity as Romeo. The factthat their marriage lasted fewer than three days before they both were deaddidn’t seem to affect my fantasy. Even if they had lived, I don’t think theirrelationship could have survived. Let’s face it, being that emotionally aflame, sexually charged, and transcendentally eloquent every single second can really start to grate on a person’s nerves. However, if I could find someone to love just a fraction of the way that Montague loved his Capulet, then marrying her would be worth it.
stephen christian, The Orphaned Anything's: Memoir of a Lesser Known|honestly i don't understand the rousing of romance all that well. i used to believe in this thing called fate, or destiny. a romantic romeo and juliet, monet and veronica, etc. but now i feel jaded, maybe agnostic to the idea.but choice used to seem so unromantic, as if some mystic force was not behind the meeting of 2 beautiful individuals. but now i think choice is the greater of the two simply for this fact: by choosing someone you are saying that out of all the people in the entire world i have decided that i want you apart of my life in perpetuum, for the rest of my life, and no one else.no haphazard circumstance, no chance meetings where distant planets align. it's simply two rational individuals who make a choice and an effort to remain together.
Scott Spencer, A Ship Made Of Paper|On a ship that's made of paper, I would sail the seven seas. (Just to be with you.)
Louisa May Alcott, Little Women|I have nothing to give but my heart so full and these empty hands.""They're not empty now.
Charlotte Brontë, Jane Eyre|You are going, Jane?""I am going, sir.""You are leaving me?""Yes.""You will not come? You will not be my comforter, my rescuer? My deep love, my wild woe, my frantic prayer, are all nothing to you?"What unutterable pathos was in his voice! How hard was it to reiterate firmly, "I am going!""Jane!""Mr. Rochester.""Withdraw then, I consent; but remember, you leave me here in anguish. Go up to your own room, think over all I have said, and, Jane, cast a glance on my sufferings; think of me."He turned away, he threw himself on his face on the sofa. "Oh, Jane! my hope, my love, my life!" broke in anguish from his lips. Then came a deep, strong sob.
Kristen Britain, Blackveil|Do whatever you must, Karigan," he told her, his voice so quiet it would not carry, "to come back. You must come back. To me." ~King Zachary
