Vincent van Gogh, Van Gogh's Starry Night Notebook|For my part I know nothing with any certainty, but the sight of the stars makes me want to dream.
Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.|While you cannot always change your situation, you can always change the way you respond to it.
Scott Stabile|It only hurts us to love when we do so with expectation. And that’s not really love, anyway. Love has no expectations, no qualifiers, no conditions. Love is pure, untouched by our mind’s demands, untainted by our desperation and fear. Love can only be beautiful. It can only be divine. No, love doesn’t hurt, not when it’s real. Love empowers. It strengthens. It reminds us who we really are and why we’re really here. Love, more than anything else in this entire world, heals us.
Matshona Dhliwayo|If the wind brushes against you, do not complain; it brushes against everyone.
Matshona Dhliwayo|You were not born to impress the world, but to impress the universe.
Ludwig Reiners in : Norbert Kutschki, Gedanken für den Alltag - Übersetzung: TheWolfmyinnerSoul /Arv|The insight into the true order of values is not easy to achieve. It is difficult for anyone to prevail in the struggle against the fear, which does not serve an old Goethean advice. In the ideal communion which Goethe draws up in his wandering years, the quaint rule is that their members must never speak of past or future, but only of the present present.Most people sacrifice the day to the day. They are not satisfied with the task of considering and solving the problems they are now posing, but in anxious thoughts they draw down on the burden of coming times. Although we can never take the second step before we have done the first, we always consider the fiftieth or the hundredth. But Johannes Muller's theorem is one of the fundamental principles of life: "Do what is present, and wait, what will."Very many have a strange position on the past, present and future. The past transfigures them, they despair of the future, and the present they fail to miss, by their memories and fears. But the present is the only real thing that does not seize it, never reaches life. That is why we should consciously enjoy every tolerable hour without letting it darken future clouds.
TheWolfmyinnerSoul - Arven|You cannot change others, all you can do is change yourself. If there’s something in your life you don’t like; it’s up to you to alter how you face that issue. Whither it’s something about yourself, or an issue you face; when you change the pattern of energy, you can change the thing causing stress and strife. In doing this, you change the pattern not only in your life, but in how others react to you as well.
TheWolfmyinnerSoul - Arven|If your dreams rely on how others deal with you, then you must change those patterns you have control over. The ones within yourself. Make sure you have thought things through and created alternative plans in case others do no react the way you hope they will. Rose colored glasses are great when used to change your view of the negativity around you. But they can be dangerous when you refuse to look at the negative patterns you yourself feed energy into.
TheWolfmyinnerSoul - Arven|Be careful what you wish for, be careful how you plan your dreams. Make sure you work out the details and are open to alternatives if things need to be tweaked along the way. Don’t feel as though you must compromise everything, or settle for something less. But don’t be so set in stone that you can not go with the flow of Divine energy as it tries to help you manifest your desires in the best possible pattern of energy for you in this time and space.
Arven-TheWolfmyinnerSoul|If you can control your actions and reactions, you’ll rule the day. The key for message is …. stay in balance, Mind/Body/Spirit and you will spend the day in celebration of abundance, friendship and joy.
Arven-TheWolfmyinnerSoul|Being a friend means knowing how to keep a confidence. Knowing when to be supportive and when to be quiet and show compassion. Sometimes saying nothing at all is the best thing you can do, because all that’s really needed is a hug.
Chris DiSano Davenport, See the Little People...An Enchanting Adventure|A boy was regarded King to be, in a land only a child could see. We admit it could be a difficult task, just in case you are inclined to ask, for those who would even vaguely begin, to remember the child that comes from within, of a modern world still hardened by past and rules that can make you grow up fast. Yet into the imagination, we hope you escape, from beliefs that your life may potentially shape; try to let go of what you normally resist, while exploring the way nature and a boy co-exist.” See the Little People…An Enchanting Adventure
Chris DiSano Davenport, See the Little People...An Enchanting Adventure|Our traditions teach us the past is not forgot, yet the past repeats the future believe it or not. If we dwell on the negative, we continue to make, an unhealthy life we must never forsake. Our fairy ring teaches us cause and effect, what we give to the world, returns to us direct!”Chepi, See the Little People…An Enchanting Adventure
Chris DiSano Davenport, See the Little People...An Enchanting Adventure|You might just be compelled to hear, that there is folklore about a boy so dear, a legend the fairies readily discern, of a good King’s rule upon his return. A boy, a boy is in front of me, I know not who this human could be. I will just become a part of this tree! Unless he cries a desperate plea, I shall then be allowed to reach out to thee.”Deetkatu, See the Little People…An Enchanting Adventure
Chris DiSano Davenport, See the Little People...An Enchanting Adventure|My head says forget it, my heart says I’ll regret it, and what my stomach tells me, I should not ignore. Oh no, I gotta go, give me a leave, not your sleeve! I know this will cease, when I feel peace. So I will help a boy, come to Joy, a risk I shall take, it’s no mistake, my stomach tells me so.” Deetkatu, See the Little People…An Enchanting Adventure
Chris DiSano Davenport, See the Little People...An Enchanting Adventure|Now Arthur, if humans could learn to gaze with their eyes or use their special sight, they would realize there is more to seeing than just what is in front of them!” Den the Wise Oak Tree, See the Little People…An Enchanting Adventure
Chris DiSano Davenport, See the Little People...An Enchanting Adventure|When you are open and aware, it allows for all magical possibilities! We, here in the forest, can see all that goes on in our environment on the surface; but we have true awareness that sees beyond the shallow! This belief comes from the depths of wisdom that there is more than meets the eyes!”Den the Wise Oak Tree, See the Little People…An Enchanting Adventure
