Tapan Ghosh, Faceless The Only Way Out|Death is an illusion, Love is not!
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|What makes a person unique is their vision, their belief, their passion, and their flat out unwillingness to give up.
Jay Crownover, Charged|You’re the best bad decision I ever made, and you are, by far, my favorite story to tell.
Julieanne O'Conner|Often, it takes more guts than skill to open doors. Once the doors get opened, then it's up to you.
Kyle Wacasey|I taught her to fly, and she began to soar.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|When it comes to recognizing your greatness, start first within your mind. Start now, in this moment. Imagine, imagine, imagine and then believe!
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|Sometimes what may appear as unfair, may actually be a huge favor from the Universe, pushing you in the right direction to live your dreams.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|I take my integrity seriously, but make no mistake, I do not rely on others to do the same.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|Anything is possible with laughter. If you can laugh out loud, especially at a life of mistakes, you will come out unscathed.
Ashok Khurana|Love began everything.Nothing ends till it ends in Love.Once it ends in Love,it is not an end but Beginning of Love.
Carol Padilla|But do not fall only for what can be seen,there is more than just beauty and pleasure...
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|Before you get a bad attitude by drawing recurring conclusions to new situation based on past experiences, be sure to look for the possibilities.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|Opportunities seldom appear wrapped in shiny paper with a big bow as you might hope. Remaining open to the packages they do in fact come in, regardless of how they appear, can lead to hugely profound experiences.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|Life's unpredictable path and length, should be enough to make you want to take a chance.
Lauren Myracle, The Infinite Moment of Us|So you know, i'm thinking that you can either keep yourself safe and not feel anything, or you can the risk of just loving him and letting him love you." she paused. "Is he worth the risk? And if not what is? What are you willing to take risk for, Wren?
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|People who believe in their own potential, and who are driven by purpose, rarely have time to talk about it.
Matshona Dhliwayo|Falling in love with someone is intentional, even if it was their looks that tripped you.
Elle Kennedy, The Score|I didn’t like the way he looked at you.” “How did he look at me?” Allie asks warily. “Like you were his entire world.” She frowns. “And that’s a bad thing?” “Damn right it is. Nobody should ever be someone else’s entire world. That’s not healthy, AJ. If your whole life is centered on one thing—one person—whatcha going to be left with if that person goes away? Absolutely nothing.” He gruffly reiterates, “Not healthy.
Munia Khan, To Evince the Blue|Night after night on starry wingsNight lovers soared so highMiles apart, across the oceansTheir love forgot to sighIn heavenly flight’s timelessnessThat highest height treasuredInto the deepest of all bluesTheir depth of love measured.From the poem 'The Ballad of Night Lovers
William Goldman, The Princess Bride|I thought an hour ago that I loved you more than any woman has ever loved a man, but a half hour after that I knew that what I felt before was nothing compared to what I felt then. But ten minutes after that, I understood that my previous love was a puddle compared to the high seas before a storm.
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|When it comes to happiness, why would anyone want to delay it?
Matshona Dhliwayo|They gave me a thousand reasons to leave you, but I found a thousand and one reasons to be with you.
Sami Abouzid|When You Feel like Quitting, Remember those who told you, you’ll never make it.
Carol Vorvain, Why Not?: The island where happiness starts with a question|For Tahitians there is nothing more desirable than love, being loved and making love. They are in love with the idea of love even more than they are with a real person. Love is free, passion unrestrained and wild, and all love stories, no matter how long they last, one day, a year or forever, are equally beautiful.
Sami Abouzid|Being away from something, gives you a clear vision about it
Carol Vorvain, Why Not?: The island where happiness starts with a question|Love is like a pair of polarized sunglasses, making every color seem more vivid, richer, warmer. Without it we stare at the world dull-eyed and flinch at the thought it might remain the same forever.
Sami Abouzid|When you’re scared to death to lose her, know it for sure, you will.
Sami Abouzid|Save me, I need you, life is sad without you
Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER|SLAMMED DOORS, Path of Discouragement. OPEN DOORS, Path of change. Do something different.
